code,description,category
01-999-00920,MANHOLES & VAULTS (26G),Field Labor
01-999-00930,DUCT BANK / TRENCH DUCT (26G),Field Labor
01-999-01020,QA/QC & COMMISSIONING (26G),Field Labor
01-999-01030,FIELD SUPERVISION (26G),Field Leadership
01-999-01050,TRIMBLE (26G),Field Labor
01-999-01070,SAFETY (26G),General Conditions
01-999-00120,UNDERGROUND BRANCH (26S),Field Labor
01-999-00200,FEEDER - UNDERGROUND CONDUIT (26S),Field Labor
01-999-00210,FEEDER PULL/TERMINATIONS (26S),Field Labor
01-999-00310,MV CABLE PULL (26S),Field Labor
01-999-00320,MV CABLE TERMINATIONS DEADBREAKS (26S),Field Labor
01-999-00460,SITE LIGHTING (26S),Field Labor
01-999-00700,SWITCHGEAR PNLS & XFMRS (26S),Field Labor
01-999-00800,DEMOLITION (26S),Field Labor
01-999-00980,MANHOLES & VAULTS (26S),Field Labor
01-999-00985,DUCT BANK / TRENCH DUCT (26S),Field Labor
NP-999-01020,MATERIALHANDLER (26S),Field Labor
NP-999-01030,QA/QC (26S),Field Labor
NP-999-01035,COMMISSIONING (26S),Field Labor
NP-999-01039,FIELD SUPERVISION (26S),Field Leadership
NP-999-01045,TRIMBLE (26S),Field Labor
NP-999-01100,GROUNDING SYSTEMS (26S),Field Labor
2100,RACEWAY - Underground,Material
